app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
aydiler,images.md,2,window-observed,20.44,214.871,283.32,1,0.0,1.0088,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,3,window-observed,35.62,92.086,204.645,1,1005.186,1.0104,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,1,window-observed,21.691,45.0,60.719,1,0.0,1.0113,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,3,window-observed,19.066,45.066,61.023,1,0.0,1.0128,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,5,window-observed,21.225,44.926,60.758,1,0.0,1.0108,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,2,window-observed,22.714,91.418,203.906,1,788.487,1.0106,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,5,window-observed,230.884,118.246,154.098,1,0.0,1.0234,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,1,window-observed,234.328,119.223,166.766,1,0.0,1.0107,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,3,window-observed,467.291,467.656,293.484,5,15.439,1.0121,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,5,window-observed,27.332,379.266,187.883,7,15.494,1.0084,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,2,window-observed,497.989,464.738,291.012,5,0.0,1.0088,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
