app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
aydiler,gfm-math-images-100k.md,4,window-observed,43.044,255.961,349.762,1,0.0,1.0104,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,5,window-observed,21.807,42.254,59.93,1,0.0,1.0111,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,3,window-observed,23.708,223.477,311.395,1,0.0,1.0104,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,ordinary-5k.md,4,window-observed,21.445,401.09,230.598,7,0.0,1.0111,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marklite,ordinary-5k.md,2,window-observed,1196.048,144.23,238.734,1,0.0,1.0121,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,1,window-observed,544.162,472.676,305.258,5,0.0,1.0109,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,2,window-observed,832.889,578.441,445.754,5,0.0,1.0131,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
moji,ordinary-5k.md,3,window-observed,532.325,428.445,335.555,4,46.334,1.0117,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,gfm-math-images-100k.md,1,window-observed,495.57,626.543,460.055,5,0.0,1.0102,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
aydiler,ordinary-5k.md,4,window-observed,21.601,232.34,319.121,1,0.0,1.0105,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
