app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
md-preview,gfm-math-images-100k.md,5,window-observed,22.75,562.312,387.184,7,30.944,1.0099,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,5,window-observed,519.267,695.832,578.844,5,0.0,1.0098,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,3,window-observed,21.21,138.914,168.168,1,0.0,1.0095,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,ordinary-5k.md,1,window-observed,281.413,1959.621,1638.125,14,337.019,1.02,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,4,window-observed,374.633,597.188,468.344,5,0.0,1.0103,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,gfm-math-images-100k.md,2,window-observed,21.344,528.426,353.324,7,108.343,1.0095,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,gfm-math-images-100k.md,3,window-observed,297.958,2132.719,1790.062,11,309.311,1.0103,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,ordinary-5k.md,1,window-observed,37.386,406.801,229.312,7,0.0,1.0124,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,2,window-observed,355.959,676.91,547.664,5,30.93,1.0104,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,1,window-observed,51.597,562.918,388.789,7,15.48,1.0094,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,ordinary-5k.md,4,window-observed,20.998,127.48,155.895,1,0.0,1.0089,03f5bbbbf613105a32c1d681080c69ac52730fc60af90cb707bd7dcfbdd80970,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,ordinary-5k.md,2,window-observed,306.596,602.844,466.918,5,0.0,1.0083,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,3,window-observed,331.128,686.605,556.914,5,30.998,1.0081,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,ordinary-5k.md,2,window-observed,499.971,465.219,441.434,4,0.0,1.0088,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,ordinary-5k.md,1,window-observed,262.307,137.535,191.84,1,0.0,1.0095,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,ordinary-5k.md,4,window-observed,20.53,44.438,59.539,1,0.0,1.0093,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,gfm-math-images-100k.md,3,window-observed,20.723,138.965,167.863,1,0.0,1.0095,03f5bbbbf613105a32c1d681080c69ac52730fc60af90cb707bd7dcfbdd80970,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,4,window-observed,35.564,45.605,61.582,1,0.0,1.0094,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,ordinary-5k.md,1,window-observed,483.363,492.809,378.246,5,15.497,1.0083,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,ordinary-5k.md,1,window-observed,463.617,459.117,436.641,4,0.0,1.0099,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,5,window-observed,342.607,685.793,556.039,5,61.88,1.01,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,ordinary-5k.md,5,window-observed,37.886,127.551,154.293,1,0.0,1.0087,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,gfm-math-images-100k.md,4,window-observed,310.808,2233.16,1927.688,11,849.98,1.0111,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
