variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
fat-z,ordinary-5k.md,4,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9483,5.3986,4500
fat-s,gfm-math-images-100k.md,3,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.5868,38.9911,8358.706
fat-3,gfm-math-images-100k.md,15,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.745800000000001,29.7217,8358.706
fat-3,gfm-math-images-100k.md,9,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.7688,14.719299999999999,8358.706
baseline,gfm-math-images-100k.md,11,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.6291,52.9853,8358.706
baseline,gfm-math-images-100k.md,14,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,16.965999999999998,39.9707,8358.706
fat-3,ordinary-5k.md,3,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9043,2.1832000000000003,4500
fat-3,ordinary-5k.md,15,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6576000000000001,2.7284,4500
fat-z,gfm-math-images-100k.md,15,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,24.5109,86.7856,8358.706
baseline,gfm-math-images-100k.md,6,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.5904,56.0026,8358.706
fat-s,ordinary-5k.md,8,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0373999999999999,3.2948,4500
fat-s,gfm-math-images-100k.md,5,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,17.019099999999998,40.2405,8358.706
fat-s,gfm-math-images-100k.md,13,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,17.3278,49.6628,8358.706
